jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2016-07-19,924.0489846693833,641.2977573992952,63.66099392376606,1003.7469350663262,1061.377,738.168,92.58171154616566,694.449,869.029,162.62834289576384,246.82580371332932,130.54193044254757,1062.6100000000001,1068.829,126.61800000000001,492.73,80.36036329344337,311.052,180.69229739618297,405.263
2016-07-20,924.791592636177,641.9372795797507,63.895941184685924,1003.8752601218206,1066.19,734.635,93.17480713331099,692.3000000000001,874.0989999999999,162.69607980311693,246.55813871141558,130.56670868212018,1063.625,1063.1899999999998,122.254,495.64899999999994,80.81202736762806,305.666,181.20538804079982,399.943
2016-07-21,923.7979453329374,640.872917356465,62.83977835455879,1002.7105991311515,1066.708,732.589,91.81940331768557,691.895,872.755,162.58081477774732,244.99494929506267,128.70236313982886,1061.723,1062.281,130.456,492.734,79.97786270823568,301.761,180.56345535633372,397.076
2016-07-22,922.9274721490659,637.9379987876142,62.14269912211432,1001.9455256140491,1051.576,731.641,90.53819055396555,684.4259999999999,874.6290000000001,159.2669683091712,243.30566412994975,127.92109417822829,1063.868,1066.362,124.60499999999999,492.353,78.45906266458974,301.12300000000005,178.953232759327,397.21999999999997
2016-07-23,921.5278668130189,638.182436060154,60.71280116190428,1000.5149456964156,1061.7920000000001,726.1529999999999,88.49460725603613,690.9380000000001,864.458,158.96234138993213,241.74475716192805,126.38079629016704,1060.316,1058.6229999999998,124.062,490.716,76.84794787670371,297.466,177.498269043475,389.64899999999994
2016-07-24,920.5327886343573,636.356244890478,60.063201731480746,999.9625143684633,1060.7209999999998,724.4789999999999,87.707970235232,689.422,868.2180000000001,157.37077166648274,240.99336827951808,125.60153496324742,1057.038,1057.555,122.279,488.01700000000005,75.81643023519217,299.148,176.31269001331847,393.83000000000004
2016-07-25,919.9753851326254,636.6066678895565,60.53487571033786,999.8712985063256,1062.598,728.51,87.4428980465446,689.53,865.3549999999999,157.83965443029552,241.12502268161887,125.4429076760528,1056.5739999999998,1059.728,121.976,485.26499999999993,76.0553035837501,300.659,176.25444063755506,392.127
2016-07-26,921.6393556151185,637.993313506375,61.8628451088798,1000.4597706148996,1066.0639999999999,730.68,89.03058406725697,689.355,872.6669999999999,158.61797229439944,242.0355241223975,126.42199280661225,1057.874,1064.551,125.047,491.85100000000006,76.91841622516647,303.52,177.31410996306298,398.29200000000003
2016-07-27,922.5026453578583,637.7701086162011,62.53811545802028,1000.796110526583,1060.659,725.92,88.65014407942712,689.0500000000001,866.3549999999999,160.19260036539436,242.71599781157414,126.15505663423755,1061.482,1062.238,124.019,489.169,77.58358626289376,294.527,177.83269469573725,386.316
2016-07-28,923.2241831237875,639.7779728694105,63.03577708245139,1001.4173036278636,1067.125,730.14,90.3779557103747,695.89,870.2180000000001,161.70619445997755,243.85191523126178,127.17423988437538,1066.653,1067.558,126.40599999999999,494.457,78.27977007010564,302.269,178.68473185477234,394.27
2016-07-29,924.1757930388998,641.3739006392848,64.49015992181413,1002.8034088870439,1067.479,734.286,91.99925920650765,695.3159999999999,877.0799999999999,162.0433927924828,245.5088321790047,128.90535659349302,1067.7700000000002,1065.5410000000002,126.37200000000001,492.38100000000003,79.47784339654982,302.791,179.30062092522385,397.616
2016-07-30,924.70716951236,641.727535069636,65.4234068301744,1004.1101904535276,1064.829,735.6460000000001,92.9120152486684,696.94,870.24,163.13789113409413,246.6178947460057,129.64904099846763,1068.9879999999998,1063.793,128.664,492.036,80.41310016548476,306.33,180.25401108827063,401.793
2016-07-31,925.0748314839446,642.6015661333032,66.39869094879683,1004.91253978932,1067.741,735.336,94.27200598041237,691.759,874.1389999999999,162.77911802834504,247.11801780854165,130.40976636113135,1062.0020000000002,1064.617,127.11,489.57,81.54553477927082,305.774,181.58012504945825,400.916
2016-08-01,926.1770576572543,643.3483349683997,67.51723505805762,1005.7134347627714,1062.46,736.514,95.70971250974367,691.8340000000001,875.195,163.36376121349494,248.5425988903263,131.18249060069954,1063.482,1058.9180000000001,126.554,491.649,82.22125741308774,305.53400000000005,182.28510041656145,406.099
2016-08-02,927.8937787640531,646.0080448142435,68.44552733624863,1005.7391607263024,1071.204,738.647,97.22049147834196,694.0840000000001,889.135,164.58410890941198,249.9840593420466,132.5292482937015,1071.877,1066.3129999999999,129.677,498.69399999999996,83.0071825392625,308.594,183.2410783710675,405.457
2016-08-03,928.5248390905728,645.2116177287762,68.85358304246968,1005.9051903491793,1071.317,742.3870000000001,96.56801087088648,697.97,876.259,167.02626991770083,249.5310980747526,131.71357832120904,1066.3069999999998,1067.712,130.355,497.904,83.83446595456434,306.256,184.44896537851682,398.89799999999997
2016-08-04,928.0255727137662,644.3641475876462,67.78073211603022,1005.6064872190948,1069.662,733.2539999999999,95.76960815697433,695.879,872.481,166.49152733785496,248.16977625306907,130.78782381936836,1071.6200000000001,1063.736,130.64800000000002,495.85699999999997,83.30407324009877,303.265,183.10578871566102,398.777
2016-08-05,927.7380457150007,643.564856207777,66.40135775020592,1004.4524010033123,1073.2110000000002,735.653,95.39410947147171,696.8489999999999,878.257,164.59258208108025,247.1425142731118,130.07145246288937,1068.554,1064.948,128.987,501.59200000000004,82.2336374390938,305.848,182.74571352250325,401.413
2016-08-06,926.3392150009379,641.3793435753763,65.42056277631737,1003.7423340370498,1062.42,734.732,93.39210558013389,691.5819999999999,870.7080000000001,162.31375139812266,245.64430624207924,128.84379005413342,1062.978,1064.4879999999998,126.29500000000002,495.21099999999996,81.42839188374458,304.652,181.79861878541976,399.13300000000004
