jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2018-10-06,-381.69000000000005,784.9470000000001,486.13599999999997,-849.9129999999999,-659.6039999999999,965.396,-1017.9129999999999,-748.9100000000001,388.597
2018-10-07,-381.34499999999997,784.527,485.83799999999997,-849.88,-658.4140000000001,967.211,-1017.444,-748.66,379.942
2018-10-08,-382.18800000000005,784.1550000000001,486.133,-849.827,-661.219,974.6969999999999,-1017.439,-747.814,381.742
2018-10-09,-381.872,783.906,480.52700000000004,-851.726,-659.9119999999999,962.8639999999999,-1017.3709999999998,-750.3069999999999,380.243
2018-10-10,-380.106,784.515,480.846,-850.144,-659.661,969.134,-1018.0180000000001,-749.201,387.61899999999997
2018-10-11,-381.873,782.569,479.63,-852.1600000000001,-660.3670000000001,962.551,-1017.6339999999999,-749.534,390.895
2018-10-12,-378.85200000000003,783.341,485.39700000000005,-849.785,-663.7810000000001,960.8780000000002,-1014.6549999999999,-747.9979999999999,391.19499999999994
2018-10-13,-380.903,785.233,479.3229999999999,-850.4719999999999,-659.2479999999999,956.4580000000001,-1017.619,-748.721,383.946
2018-10-14,-380.767,785.9350000000001,479.25500000000005,-848.989,-660.956,956.7610000000001,-1016.2069999999999,-747.509,382.304
2018-10-15,-383.576,786.798,478.282,-852.54,-658.9300000000001,956.8709999999999,-1020.5280000000001,-749.9670000000001,385.472
2018-10-16,-382.59099999999995,783.955,477.649,-852.0360000000001,-659.3220000000001,955.885,-1018.8709999999999,-749.247,382.865
2018-10-17,-382.473,786.375,479.603,-849.875,-658.277,959.376,-1018.4010000000001,-748.437,382.59099999999995
2018-10-18,-381.944,785.294,486.75100000000003,-850.8389999999999,-659.323,964.5389999999999,-1019.215,-747.753,383.596
2018-10-19,-382.943,786.899,481.87700000000007,-849.563,-657.879,957.63,-1020.9509999999999,-747.305,384.04499999999996
2018-10-20,-379.967,785.0709999999999,485.22700000000003,-849.872,-661.3100000000001,965.874,-1018.4739999999999,-747.467,388.299
2018-10-21,-381.779,785.107,484.97700000000003,-849.7040000000002,-660.038,961.8919999999999,-1019.3370000000002,-747.344,389.184
2018-10-22,-381.602,787.061,482.77,-848.7819999999999,-659.83,963.3719999999998,-1019.5540000000001,-746.665,383.398
2018-10-23,-383.59099999999995,786.7539999999999,479.087,-850.787,-656.751,961.5010000000001,-1019.774,-747.9279999999999,382.46599999999995
2018-10-24,-382.017,785.424,484.07700000000006,-850.525,-659.5020000000001,961.0549999999998,-1018.252,-747.7289999999999,384.82800000000003
2018-10-25,-383.319,784.3489999999999,484.76199999999994,-853.2120000000001,-659.3449999999999,971.551,-1019.6,-749.1170000000001,388.533
2018-10-26,-382.69000000000005,787.208,484.38000000000005,-850.0129999999999,-659.586,971.382,-1020.5120000000001,-746.573,389.317
2018-10-27,-381.42600000000004,784.464,486.48199999999997,-851.484,-659.891,960.5469999999999,-1018.8709999999999,-748.203,387.029
2018-10-28,-383.08400000000006,784.618,481.27700000000004,-851.802,-661.443,961.2040000000001,-1019.68,-748.008,388.709
2018-10-29,-379.826,785.3439999999999,483.126,-848.918,-662.743,967.4709999999999,-1017.4250000000001,-744.629,386.163
2018-10-30,-381.286,787.7109999999999,483.80500000000006,-849.4770000000001,-660.1640000000001,961.0989999999999,-1019.017,-745.864,384.19000000000005
2018-10-31,-381.79,786.082,482.64099999999996,-849.404,-660.744,963.259,-1018.3480000000001,-746.977,384.991
2018-11-01,-381.39099999999996,784.83,479.457,-851.283,-659.693,962.872,-1018.06,-748.556,383.87899999999996
2018-11-02,-381.228,784.563,478.209,-850.865,-660.104,956.942,-1017.336,-748.0649999999999,380.463
2018-11-03,-381.62800000000004,784.4760000000001,478.425,-850.6879999999999,-661.089,962.253,-1017.8009999999999,-747.937,380.621
2018-11-04,-382.382,785.3399999999999,478.67900000000003,-851.565,-660.4399999999999,962.5950000000001,-1019.8180000000001,-747.5699999999999,381.49899999999997
2018-11-05,-383.309,785.705,477.576,-849.952,-659.9209999999999,963.9989999999999,-1019.6590000000001,-748.841,385.601
2018-11-06,-382.461,784.9979999999999,482.32700000000006,-852.1840000000001,-661.325,970.0799999999999,-1018.462,-747.972,388.376
2018-11-07,-381.673,785.75,480.60699999999997,-850.326,-661.045,963.811,-1019.7769999999999,-747.235,386.59099999999995
2018-11-08,-382.69100000000003,784.95,482.48500000000007,-851.0469999999999,-658.4949999999999,968.842,-1020.186,-748.652,383.339
2018-11-09,-381.154,785.625,483.573,-850.7719999999999,-658.6890000000001,967.684,-1018.3520000000001,-747.53,384.839
2018-11-10,-379.445,785.7850000000001,480.953,-849.0569999999999,-660.605,970.585,-1017.774,-746.7189999999999,384.821
2018-11-11,-379.854,785.395,483.091,-849.403,-660.802,967.8030000000001,-1017.555,-747.4649999999999,386.464
2018-11-12,-379.446,784.233,479.562,-850.132,-659.643,959.933,-1016.375,-748.6129999999999,383.496
2018-11-13,-380.76500000000004,784.652,481.896,-850.0040000000001,-658.814,959.569,-1018.7520000000001,-749.452,384.481
2018-11-14,-380.716,785.4290000000001,483.026,-850.609,-658.98,966.145,-1018.4799999999998,-748.681,387.64
2018-11-15,-381.88899999999995,784.817,481.451,-851.4430000000001,-660.105,967.3589999999999,-1018.3309999999999,-749.2579999999999,381.709
2018-11-16,-382.768,783.6260000000001,477.314,-851.549,-659.791,961.006,-1018.5200000000001,-749.7420000000001,378.801
2018-11-17,-382.565,784.959,477.309,-851.1280000000002,-659.2040000000001,965.3969999999999,-1019.951,-748.374,378.685
2018-11-18,-381.064,785.451,475.361,-849.715,-659.393,960.367,-1019.787,-747.753,379.353
2018-11-19,-381.826,784.687,478.674,-850.683,-660.4760000000001,963.8459999999999,-1017.8120000000001,-748.2439999999999,385.639
2018-11-20,-382.805,784.852,477.571,-850.338,-657.792,960.2930000000001,-1018.259,-748.437,383.51199999999994
2018-11-21,-381.85999999999996,786.333,479.02299999999997,-849.856,-659.5989999999999,967.0260000000001,-1020.0930000000002,-746.8779999999999,380.486
2018-11-22,-383.01,784.651,476.811,-851.165,-661.119,959.652,-1019.4989999999999,-748.473,381.812
2018-11-23,-385.272,782.938,469.71999999999997,-852.701,-658.317,949.2790000000001,-1021.4069999999999,-749.676,371.34299999999996
2018-11-24,-383.144,784.634,472.711,-850.066,-659.747,959.0110000000001,-1020.3109999999999,-747.889,376.907
2018-11-25,-382.368,785.804,473.02,-850.311,-658.687,957.5559999999999,-1019.6889999999999,-747.2860000000001,380.394
2018-11-26,-382.266,786.875,474.59399999999994,-851.708,-659.0840000000001,954.716,-1019.693,-748.114,380.941
2018-11-27,-382.575,787.5880000000001,481.281,-850.159,-659.3140000000001,958.075,-1019.619,-747.125,382.068
2018-11-28,-380.848,785.2520000000001,475.91099999999994,-850.001,-659.996,951.073,-1018.0480000000001,-747.418,385.46999999999997
2018-11-29,-383.732,785.246,475.74399999999997,-851.13,-657.58,955.2139999999999,-1021.527,-748.8100000000001,382.542
2018-11-30,-384.733,783.474,475.38500000000005,-852.101,-658.539,957.36,-1020.5870000000001,-748.992,380.169
2018-12-01,-384.253,786.039,480.17299999999994,-849.1629999999999,-658.301,961.347,-1021.399,-747.27,383.96799999999996
2018-12-02,-383.69100000000003,785.378,477.965,-849.194,-659.2600000000001,954.99,-1020.094,-747.677,379.336
2018-12-03,-384.27299999999997,785.22,475.076,-851.1209999999999,-660.2620000000001,954.733,-1020.5110000000002,-748.3069999999999,380.951
2018-12-04,-384.528,785.378,476.6,-851.0719999999999,-658.292,955.131,-1020.098,-748.3340000000001,378.162
2018-12-05,-384.64799999999997,784.7539999999999,477.90600000000006,-851.771,-658.699,958.476,-1021.0980000000001,-749.2090000000001,384.18600000000004
2018-12-06,-384.349,786.341,482.16499999999996,-850.642,-658.567,958.6469999999999,-1020.6610000000001,-748.0989999999999,385.455
2018-12-07,-382.024,784.321,486.942,-848.6129999999999,-661.4689999999999,968.5169999999999,-1016.7839999999999,-746.658,387.87100000000004
2018-12-08,-381.895,785.798,478.649,-848.259,-660.0310000000001,961.259,-1019.2049999999999,-746.948,381.85999999999996
2018-12-09,-384.899,786.346,479.39,-849.357,-658.109,958.3139999999999,-1020.713,-747.287,380.881
2018-12-10,-382.87899999999996,785.6229999999999,477.37600000000003,-851.0709999999999,-658.532,958.344,-1020.864,-748.3140000000001,384.627
2018-12-11,-383.425,785.0840000000001,473.204,-849.516,-658.8380000000001,955.9989999999999,-1020.0160000000001,-748.74,385.202
2018-12-12,-385.05100000000004,784.613,475.3310000000001,-852.3879999999999,-658.5340000000001,961.2799999999999,-1021.6959999999999,-749.978,383.764
2018-12-13,-385.376,783.837,477.66999999999996,-851.6440000000001,-657.924,962.777,-1021.175,-749.344,380.93499999999995
2018-12-14,-386.284,783.1819999999999,473.201,-853.511,-659.081,957.8,-1021.156,-751.541,381.34000000000003
2018-12-15,-384.471,784.165,471.933,-851.467,-660.574,959.7909999999999,-1019.633,-750.089,379.47700000000003
2018-12-16,-384.925,784.8000000000001,474.779,-851.384,-660.5310000000001,960.991,-1020.338,-749.0949999999999,383.615
2018-12-17,-384.14699999999993,784.832,480.68699999999995,-851.6120000000001,-659.771,964.6700000000001,-1021.728,-748.2270000000001,381.39
