jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2017-12-24,1007.279,921.4129999999999,180.044,1086.142,702.138,166.545,878.8030000000001,129.571,404.13899999999995,497.496,249.277,96.60199999999999,314.272,1073.09,1079.6490000000001,752.41,141.179,73.45700000000001,650.0600000000001,83.616
2017-12-25,1008.5709999999999,925.497,183.74699999999999,1087.4709999999998,703.7090000000001,167.266,882.0120000000002,134.949,403.759,498.26000000000005,244.60199999999998,98.546,312.64200000000005,1075.701,1079.2269999999999,753.869,141.34000000000003,72.238,648.5300000000001,82.599
2017-12-26,1007.8180000000001,922.808,182.092,1086.02,700.82,167.238,879.266,135.608,405.269,496.195,243.096,100.608,315.18,1069.5860000000002,1080.134,751.172,139.86700000000002,73.298,647.573,79.148
2017-12-27,1017.256,927.0129999999999,186.74200000000002,1088.867,707.891,168.823,885.0299999999999,142.16099999999997,412.66400000000004,502.88199999999995,251.18400000000003,102.47,319.601,1076.0819999999999,1082.144,757.585,140.491,79.142,651.6560000000001,89.327
2017-12-28,1025.359,932.499,188.95399999999998,1093.4569999999999,710.72,174.168,883.0620000000001,140.731,416.28900000000004,507.578,254.74999999999997,106.181,322.70300000000003,1078.295,1087.043,758.6850000000001,144.716,92.054,659.519,93.466
2017-12-29,1017.55,934.841,190.98800000000003,1094.612,710.6020000000001,176.475,888.216,138.64100000000002,413.754,508.502,259.11400000000003,108.79700000000001,322.85999999999996,1077.733,1086.148,759.669,146.47299999999998,88.635,655.948,96.515
2017-12-30,1018.5070000000001,932.4879999999998,188.70100000000002,1095.139,707.751,173.581,883.4989999999999,136.8,415.203,505.01099999999997,255.058,109.331,320.473,1081.2379999999998,1085.4700000000003,760.3290000000001,150.454,83.627,653.796,90.849
2017-12-31,1015.509,936.54,190.666,1096.06,710.2760000000001,176.91700000000003,886.3549999999999,142.484,414.649,507.726,257.515,110.946,320.849,1077.408,1086.43,760.5529999999999,148.831,84.791,658.563,93.00399999999999
2018-01-01,1017.2339999999999,931.107,190.15699999999998,1096.978,710.086,176.554,889.052,144.593,412.98500000000007,505.594,251.66700000000003,111.75399999999999,323.936,1079.5159999999998,1083.496,759.138,153.144,87.04500000000002,655.136,86.861
2018-01-02,1014.4229999999999,929.3399999999999,187.173,1092.625,708.579,172.093,885.859,139.573,411.379,504.0520000000001,249.61700000000002,106.616,320.636,1074.125,1082.001,756.585,149.538,84.052,653.1270000000001,89.712
2018-01-03,1015.857,929.143,188.957,1095.1309999999999,709.831,168.56300000000002,885.501,142.731,415.44399999999996,508.19899999999996,257.32300000000004,108.10799999999999,322.07399999999996,1079.98,1085.0,757.174,151.491,85.79599999999999,653.603,95.49099999999999
2018-01-04,1008.972,927.736,182.41199999999998,1092.184,707.2579999999999,163.857,881.188,136.353,409.06100000000004,501.74600000000004,249.51100000000002,99.498,315.09999999999997,1072.9660000000001,1082.025,749.3270000000001,145.321,76.681,647.864,82.929
2018-01-05,1007.201,925.707,184.116,1088.703,705.569,163.642,878.6239999999999,134.78900000000002,409.109,499.31499999999994,247.302,100.601,316.523,1073.478,1083.577,754.647,144.896,75.339,649.0020000000001,86.05499999999999
2018-01-06,1007.7,922.4180000000001,181.144,1088.9450000000002,708.33,167.754,880.185,136.319,405.113,497.49499999999995,244.599,101.79400000000001,318.03700000000003,1073.151,1083.316,753.555,145.898,77.159,653.0500000000001,80.798
2018-01-07,1015.371,929.4399999999999,186.165,1094.8139999999999,709.8899999999999,172.30499999999998,878.424,140.711,412.07899999999995,500.88100000000003,250.39899999999997,106.079,324.994,1080.547,1083.584,763.512,148.27200000000002,84.191,657.9159999999999,87.09400000000001
2018-01-08,1013.808,929.5409999999999,186.54100000000003,1094.351,709.5100000000001,171.114,884.2840000000001,138.291,409.36100000000005,502.37700000000007,254.062,106.724,320.042,1081.902,1086.196,759.172,147.66700000000003,83.44800000000001,656.6560000000001,89.282
2018-01-09,1013.04,928.5329999999999,183.324,1093.564,710.7280000000001,167.58599999999998,876.6510000000001,135.296,409.572,503.708,253.932,103.253,317.08200000000005,1077.0230000000001,1085.236,758.163,147.57899999999998,82.566,654.272,89.959
2018-01-10,1017.849,927.991,188.165,1091.2440000000001,711.089,170.96800000000002,882.023,137.707,413.764,506.54300000000006,254.61100000000002,106.36800000000001,322.73400000000004,1082.144,1084.7069999999999,760.1640000000001,147.101,85.433,658.386,90.262
2018-01-11,1016.5740000000001,928.0639999999999,187.12400000000002,1095.199,713.31,172.572,881.5840000000001,137.546,409.136,504.21700000000004,254.475,105.18399999999998,319.399,1072.068,1084.183,764.7149999999999,151.901,83.475,668.679,86.862
2018-01-12,1019.8399999999998,930.689,191.25699999999998,1097.2269999999999,713.4939999999999,173.87,887.749,143.564,414.634,505.35799999999995,252.224,109.22999999999999,329.201,1078.64,1087.518,764.783,154.45799999999997,83.731,661.25,89.27300000000001
