"n0","e0","u0","n1","e1","u1","n2","e2","u2"
-382.047,784.656,468.499,-850.959,-660.867,955.12,-1016.714,-747.474,379.799
-384.44,783.876,469.685,-852.384,-659.934,954.082,-1017.608,-749.407,380.107
-382.738,783.294,479.606,-853.134,-661.923,962.992,-1017.487,-748.359,385.269
-379.916,785.164,480.167,-850.29,-661.85,961.528,-1016.679,-746.56,384.749
-381.225,783.966,473.338,-849.77,-660.675,953.894,-1015.952,-747.45,382.86
-383.485,784.503,473.89,-852.64,-659.073,960.701,-1018.043,-748.359,385.95
-380.805,783.403,473.805,-851.938,-661.926,959.018,-1015.59,-748.511,379.279
-384.114,783.908,467.888,-852.183,-659.411,964.349,-1020.208,-749.21,382.311
-381.728,785.066,475.267,-851.159,-659.767,962.694,-1019.678,-747.401,383.942
-382.961,785.684,472.939,-850.315,-661.23,960.498,-1019.227,-746.313,384.464
-385.836,785.842,475.802,-852.02,-658.604,960.798,-1020.919,-748.554,388.449
-384.231,785.392,474.854,-850.801,-660.525,959.63,-1020.721,-746.931,388.981
-384.217,786.465,473.068,-849.827,-660.18,959.052,-1020.914,-746.468,385.47
-384.98,785.437,473.463,-852.694,-659.562,959.029,-1019.446,-747.465,379.698
-385.79,788.54,473.443,-850.296,-658.207,955.034,-1023.493,-746.129,378.429
-383.567,789.092,482.958,-848.702,-661.895,955.584,-1019.316,-745.446,382.29
-387.309,786.287,471.792,-851.424,-658.938,951.669,-1022.466,-746.649,379.701
-387.23,786.42,475.014,-852.079,-659.383,955.711,-1023.048,-747.182,381.517
-385.439,785.083,473.013,-851.895,-660.629,954.264,-1021.751,-747.001,382.533
-383.826,784.379,468.702,-852.633,-660.073,961.837,-1017.851,-749.61,382.963
-384.231,784.364,473.047,-851.943,-659.791,955.079,-1019.127,-748.639,378.397
-384.158,786.346,471.576,-849.555,-658.288,948.396,-1020.124,-746.843,382.68
-386.203,783.92,472.732,-853.868,-658.677,955.663,-1021.066,-749.723,380.023
-385.623,784.936,472.924,-853.268,-658.112,955.221,-1021.097,-748.279,378.53
-385.216,785.935,469.585,-851.275,-659.85,957.766,-1021.948,-746.976,381.055
-384.154,783.73,467.356,-853.025,-661.192,962.111,-1018.538,-748.191,378.396
-386.152,786.305,469.528,-851.754,-659.655,962.325,-1020.642,-746.784,377.617
-385.757,785.086,469.28,-851.853,-659.103,964.142,-1021.722,-746.511,381.046
-383.714,784.759,470.439,-851.485,-658.438,954.26,-1018.33,-748.423,378.433
-385.012,783.794,469.825,-851.632,-658.41,958.87,-1020.482,-748.966,379.047
-385.917,784.676,469.156,-853.121,-658.731,957.966,-1021.18,-748.235,379.745
-386.974,785.503,468.892,-852.852,-658.743,964.894,-1020.426,-748.585,378.207
-383.090328030349,782.396237982938,485.711418793549,-853.179,-659.815,959.485,-1019.87,-747.832,380.452
-388.02834896438,787.36905641042,488.775730895444,-854.056,-660.296,958.91,-1020.414,-749.215,381.209
-382.782760645624,785.167132118923,480.731194665819,-852.932,-658.859,962.198,-1020.641,-748.631,383.81
-387.758859939717,785.717538128374,468.798614408205,-853.061,-659.686,952.43,-1020.251,-748.128,377.12
-381.078358573994,788.469974159338,480.18660909778,-852.664,-659.509,956.757,-1021.206,-748.111,378.77
-382.303221716179,782.759134453889,488.777384648572,-852.757,-659.576,959.367,-1020.153,-746.993,380.771
-388.108677248122,784.17153544851,490.062199557387,-853.943,-659.788,958.468,-1019.797,-749.175,380.156
-384.406,783.703,470.427,-853.534,-660.119,960.031,-1020.065,-748.367,379.216
-383.984,784.027,471.228,-853.209,-661.281,964.077,-1019.909,-748.142,381.262
-383.546,783.8,469.483,-852.657,-661.138,958.889,-1020.354,-748.339,383.981
-384.946283712286,786.932632295614,484.732771771221,-852.425,-659.72,954.069,-1020.524,-747.72,378.477
-388.076064446935,788.721540860293,488.502069671459,-850.807,-661.484,959.818,-1019.864,-745.634,378.849
-386.460900442149,785.358456721386,469.472985406698,-852.021,-659.614,960.851,-1021.104,-746.197,380.411
-388.067329347185,785.917562349234,492.315305501811,-852.664,-661.364,959.352,-1019.564,-747.583,386.17
-386.291785823514,787.172144432105,475.501081462124,-854.443,-660.681,962.374,-1019.696,-748.539,386.116
-380.952128120038,788.567861737692,491.886325053161,-853.133,-658.922,960.99,-1019.281,-748.569,390.204
-387.59988976081,787.721784241001,494.175053970365,-851.863,-658.635,965.629,-1020.053,-747.298,385.511
-385.076,784.178,472.837,-854.462,-659.41,966.642,-1020.827,-748.663,384.588
-381.952,786.246,472.51,-849.869,-660.498,960.296,-1018.32,-745.522,385.618
-381.943,785.225,470.074,-851.557,-660.528,965.554,-1019.112,-746.806,387.171
-387.763573421951,785.586592005565,487.811979922729,-849.75,-660.686,972.551,-1018.481,-746.165,390.075
-387.209913869289,782.882018816149,493.407101523027,-850.621,-660.975,971.522,-1018.735,-746.398,390.783
