jd,n0,e0,u0,n1,e1,u1,n2,e2,u2
2017-12-25,-168.804,-606.015,-874.8829999999999,-385.757,785.0859999999999,469.28000000000003,-1021.722,-746.511,381.046
2017-12-26,-168.416,-605.0020000000001,-880.801,-383.714,784.759,470.4390000000001,-1018.3299999999999,-748.423,378.433
2017-12-27,-167.761,-604.052,-876.47,-385.01199999999994,783.794,469.825,-1020.4819999999999,-748.966,379.04699999999997
2017-12-28,-169.62800000000001,-604.8720000000001,-874.605,-385.91700000000003,784.676,469.156,-1021.18,-748.235,379.745
2017-12-29,-168.916,-604.9689999999999,-873.2370000000001,-386.974,785.5029999999999,468.89200000000005,-1020.426,-748.585,378.207
2017-12-30,-169.504,-606.536,-873.5,-386.007,785.095,470.72200000000004,-1019.87,-747.832,380.452
2017-12-31,-170.326,-607.705,-877.6500000000001,-386.889,783.522,470.895,-1020.414,-749.2149999999999,381.209
2018-01-01,-169.148,-605.011,-872.626,-385.684,784.62,471.788,-1020.641,-748.6310000000001,383.81
2018-01-02,-169.06600000000003,-604.926,-881.869,-384.568,784.419,466.912,-1020.251,-748.128,377.11999999999995
2018-01-03,-169.096,-606.087,-876.856,-384.57199999999995,783.976,470.44899999999996,-1021.206,-748.111,378.77
2018-01-04,-169.11800000000002,-605.431,-876.9459999999999,-383.58500000000004,785.293,471.286,-1020.1530000000001,-746.993,380.771
2018-01-05,-171.226,-606.2429999999999,-876.6500000000001,-384.396,783.945,472.163,-1019.7969999999998,-749.1750000000001,380.156
2018-01-06,-170.116,-606.3470000000001,-876.2139999999999,-384.40599999999995,783.703,470.427,-1020.065,-748.367,379.216
2018-01-07,-169.471,-606.916,-870.281,-383.984,784.027,471.22799999999995,-1019.909,-748.1419999999999,381.262
2018-01-08,-170.265,-607.3850000000001,-874.167,-383.546,783.8000000000001,469.483,-1020.3539999999999,-748.339,383.981
2018-01-09,-169.92399999999998,-605.981,-876.851,-384.491,783.928,473.305,-1020.524,-747.7199999999999,378.47700000000003
2018-01-10,-168.678,-607.979,-872.4530000000001,-384.066,784.2819999999999,469.366,-1019.8639999999999,-745.634,378.849
2018-01-11,-168.854,-605.8,-875.409,-385.22,783.321,473.581,-1021.104,-746.197,380.411
2018-01-12,-169.38,-607.245,-874.711,-383.967,785.037,475.162,-1019.564,-747.583,386.16999999999996
2018-01-13,-169.853,-606.5129999999999,-873.495,-383.076,783.245,476.9100000000001,-1019.6959999999999,-748.5390000000001,386.116
2018-01-14,-170.30100000000002,-605.138,-872.6790000000001,-383.462,784.942,476.37600000000003,-1019.2809999999998,-748.569,390.204
2018-01-15,-167.837,-605.0300000000001,-872.3850000000001,-383.436,786.206,471.591,-1020.0530000000001,-747.2979999999999,385.51099999999997
2018-01-16,-171.30399999999997,-605.0889999999999,-872.199,-385.076,784.1779999999999,472.837,-1020.8270000000001,-748.663,384.58799999999997
2018-01-17,-166.755,-606.826,-873.6959999999999,-381.952,786.246,472.51000000000005,-1018.3200000000002,-745.522,385.61799999999994
2018-01-18,-168.70399999999998,-605.971,-872.663,-381.943,785.2249999999999,470.074,-1019.112,-746.806,387.171
2018-01-19,-167.274,-607.3870000000001,-860.341,-381.40200000000004,785.931,478.91499999999996,-1018.481,-746.165,390.075
2018-01-20,-167.22500000000002,-607.26,-862.125,-382.886,786.2520000000001,476.025,-1018.7349999999999,-746.398,390.783
2018-01-21,-170.427,-604.982,-867.36,-385.14799999999997,784.996,478.316,-1020.491,-748.7520000000001,391.74
2018-01-22,-172.46705459225618,-603.5008740982635,-871.7881832489677,-385.344,783.587,476.90600000000006,-1019.6479999999999,-749.866,386.154
2018-01-23,-172.5681288785983,-603.3161389383763,-875.1278603161675,-385.127,784.28,473.83400000000006,-1021.318,-749.2489999999999,386.37100000000004
2018-01-24,-170.73022285902624,-604.4277945203386,-877.3790312015991,-382.19599999999997,785.571,470.96000000000004,-1019.6670000000001,-746.234,381.819
2018-01-25,-168.59826731522617,-605.9110513200035,-878.4587507088978,-384.656,784.692,473.16700000000003,-1021.4969999999998,-747.684,380.473
2018-01-26,-167.81719302888408,-606.8411198132239,-878.2840736416981,-384.101,784.876,471.471,-1020.0899999999999,-747.402,383.065
2018-01-27,-168.38699999999997,-607.2180000000001,-876.8549999999999,-383.942,784.668,471.92,-1020.5540000000002,-746.687,378.71
2018-01-28,-169.40999999999997,-606.947,-875.775,-384.02,784.475,474.296,-1018.294,-747.9979999999999,381.498
2018-01-29,-166.60899999999998,-605.5930000000001,-880.127,-382.12800000000004,786.6220000000001,471.93199999999996,-1018.411,-746.196,382.248
2018-01-30,-165.603,-604.583,-869.699,-382.767,787.0699999999999,475.45500000000004,-1020.81,-745.398,384.709
2018-01-31,-166.247,-606.749,-871.5860000000001,-382.018,786.351,476.44,-1019.2529999999999,-744.585,381.164
2018-02-01,-166.078,-604.6080000000001,-882.969,-381.812,786.13,468.43800000000005,-1019.2860000000002,-746.681,379.67
2018-02-02,-166.123,-605.405,-884.253,-382.12199999999996,784.911,472.875,-1019.1629999999998,-746.817,384.667
2018-02-03,-165.862,-605.155,-876.7040000000001,-384.537,787.1229999999999,470.43,-1020.832,-745.795,385.91900000000004
2018-02-04,-165.7846117058315,-604.6436757239319,-871.617877913567,-386.076,785.0239999999999,465.343,-1021.593,-748.422,378.92600000000004
2018-02-05,-165.9972849561512,-604.166594329701,-870.8034730962804,-380.11699999999996,786.2289999999999,480.052,-1021.082,-747.1320000000001,376.65900000000005
2018-02-06,-166.5000197509591,-603.723755817307,-874.2607855481406,-381.772,785.571,483.787,-1021.0190000000001,-748.275,384.96999999999997
2018-02-07,-166.8211946011094,-603.5660826788451,-878.086701211525,-383.233,784.8439999999999,483.971,-1020.5549999999998,-747.889,383.462
2018-02-08,-166.48918801745637,-603.9444974064094,-878.3781060288114,-384.387,784.822,480.067,-1021.496,-747.63,387.827
2018-02-09,-165.504,-604.859,-875.135,-381.08000000000004,787.0050000000001,479.799,-1019.4530000000002,-745.154,388.791
2018-02-10,-164.486,-605.9359999999999,-870.0959999999999,-381.474,786.818,484.188,-1018.7360000000001,-745.316,391.797
2018-02-11,-166.26300000000003,-605.6779999999999,-872.009,-383.046,786.343,477.865,-1019.883,-745.464,387.33
2018-02-12,-166.639,-607.062,-872.1969999999999,-382.70500000000004,785.778,480.57,-1019.336,-746.027,388.84000000000003
2018-02-13,-167.31099999999998,-605.0909999999999,-869.813,-384.951,786.85,482.097,-1022.162,-746.659,393.293
2018-02-14,-165.697,-604.183,-876.793,-382.832,787.258,476.927,-1020.233,-745.9780000000001,386.91999999999996
2018-02-15,-166.948,-604.536,-873.8870000000001,-384.00800000000004,787.207,478.204,-1021.3820000000001,-745.865,386.07199999999995
2018-02-16,-167.22899999999998,-605.027,-871.4200000000001,-384.52,786.673,476.917,-1021.004,-745.8249999999999,382.876
2018-02-17,-166.829,-603.12,-876.1899999999999,-384.112,787.0,474.965,-1021.188,-746.978,384.54499999999996
2018-02-18,-164.568,-605.693,-879.32,-381.815,787.914,475.39899999999994,-1018.81,-745.3760000000001,382.991
2018-02-19,-165.31799999999998,-604.391,-873.024,-383.858,787.8850000000001,476.11199999999997,-1020.1149999999999,-745.665,384.295
2018-02-20,-164.895,-604.26,-876.2840000000001,-382.733,788.387,478.45799999999997,-1020.3440000000002,-743.555,384.26
2018-02-21,-167.073,-602.485,-881.6500000000001,-382.61899999999997,787.433,473.803,-1020.0290000000001,-746.764,382.226
2018-02-22,-167.55599999999998,-604.9069999999999,-874.9200000000001,-383.71900000000005,786.52,474.6,-1020.284,-746.421,380.474
2018-02-23,-166.973,-603.697,-874.617,-383.356,786.5409999999999,472.28700000000003,-1019.3209999999999,-747.687,379.349
2018-02-24,-167.93099999999998,-604.599,-872.8100000000001,-382.886,785.909,475.49300000000005,-1020.008,-748.344,384.963
2018-02-25,-168.972,-603.7249999999999,-875.2620000000001,-382.575,785.3899999999999,476.919,-1019.32,-748.1270000000001,388.218
2018-02-26,-170.223,-604.924,-868.9520000000001,-381.398,785.446,477.126,-1018.211,-748.073,385.72499999999997
2018-02-27,-168.19600000000003,-602.1300000000001,-872.891,-383.268,786.087,475.22200000000004,-1020.4649999999999,-748.004,385.276
2018-02-28,-167.614,-602.9780000000001,-872.118,-383.47900000000004,786.7069999999999,481.154,-1020.6850000000001,-747.078,388.83099999999996
2018-03-01,-170.788,-601.478,-872.8520000000001,-384.816,785.6890000000001,474.98500000000007,-1020.4719999999999,-750.304,382.967
2018-03-02,-169.495,-604.73,-869.6219999999998,-384.306,785.748,477.407,-1020.737,-748.892,383.344
2018-03-03,-169.35899999999998,-602.24,-876.095,-384.029,786.9010000000001,472.717,-1021.128,-747.95,378.49899999999997
2018-03-04,-167.185,-601.0020000000001,-873.501,-383.623,788.119,476.17600000000004,-1022.535,-747.337,384.431
2018-03-05,-169.36800000000002,-601.3629999999999,-873.0700000000002,-383.835,786.9939999999999,478.16400000000004,-1020.1819999999999,-748.291,383.775
2018-03-06,-167.30999999999997,-602.237,-874.346,-384.00800000000004,788.3319999999999,476.825,-1021.3889999999999,-746.937,386.925
2018-03-07,-166.917,-602.683,-873.7080000000001,-382.61100000000005,789.358,475.79499999999996,-1021.0250000000001,-745.34,384.1
2018-03-08,-170.453,-601.1880000000001,-870.299,-384.418,786.426,477.16099999999994,-1020.5540000000002,-748.2560000000001,387.49899999999997
2018-03-09,-168.89200000000002,-604.506,-866.6,-382.65500000000003,786.5810000000001,479.993,-1020.1899999999999,-748.366,385.99
2018-03-10,-169.397,-603.578,-868.6239999999999,-381.349,785.6189999999999,478.731,-1018.891,-748.152,386.788
2018-03-11,-168.988,-603.708,-875.259,-382.603,785.576,477.65200000000004,-1018.9270000000001,-748.698,386.81300000000005
2018-03-12,-168.183,-605.425,-869.1479999999999,-383.13800000000003,784.404,475.814,-1019.2099999999999,-748.857,384.304
2018-03-13,-168.47500000000002,-608.226,-874.869,-381.989,785.301,474.14099999999996,-1017.593,-747.15,384.17699999999996
2018-03-14,-167.52800000000002,-607.792,-864.975,-382.57399999999996,787.226,475.09399999999994,-1019.115,-745.1439999999999,389.382
2018-03-15,-167.288,-603.487,-873.9709999999999,-382.03700000000003,785.9540000000001,473.11899999999997,-1019.1600000000001,-747.224,380.556
2018-03-16,-167.169,-604.336,-871.928,-380.735,785.663,479.14300000000003,-1018.7610000000001,-747.8130000000001,385.32300000000004
2018-03-17,-167.525,-603.801,-867.168,-382.517,786.21,483.14300000000003,-1019.1479999999999,-746.9010000000001,390.82
2018-03-18,-169.52100000000002,-603.522,-868.558,-382.51599999999996,784.25,478.796,-1019.069,-750.511,390.387
2018-03-19,-169.30200000000002,-604.6669999999999,-869.6790000000001,-381.40200000000004,785.756,483.054,-1018.572,-749.5649999999999,392.59499999999997
2018-03-20,-168.025,-605.9359999999999,-865.5639999999999,-382.535,785.839,481.09799999999996,-1018.622,-747.893,389.228
2018-03-21,-167.332,-604.179,-866.844,-383.669,787.069,478.976,-1020.7299999999999,-746.421,389.79200000000003
2018-03-22,-170.033,-602.921,-872.945,-384.66,784.983,472.88900000000007,-1020.248,-749.7739999999999,382.28299999999996
2018-03-23,-169.711,-605.96,-871.3610000000001,-384.281,784.444,476.2149999999999,-1021.2959999999999,-749.0,387.171
2018-03-24,-167.299,-604.536,-874.61,-383.963,786.269,472.937,-1021.147,-748.027,380.166
2018-03-25,-165.8292882983718,-603.2854455315728,-878.4959220887421,-383.24899999999997,785.987,473.34999999999997,-1020.3500000000001,-747.9630000000001,379.09499999999997
2018-03-26,-165.76001036760414,-603.2773905900028,-881.869346192161,-384.009,787.519,476.326,-1019.107,-747.15,382.097
2018-03-27,-167.091166207697,-604.5118351752901,-884.7302723102564,-383.56399999999996,784.0840000000001,475.24300000000005,-1019.83,-748.553,377.591
2018-03-28,-168.72650733496832,-605.8534274994021,-886.2372490260727,-383.413,786.0169999999999,475.09,-1020.1739999999999,-746.283,382.079
2018-03-29,-169.56978526573596,-606.1668157743053,-885.5488249226539,-383.43,786.479,474.358,-1020.3850000000001,-746.1260000000001,381.441
2018-03-30,-169.62099999999998,-605.452,-882.665,-384.38800000000003,783.634,471.168,-1019.9850000000001,-750.5310000000001,381.936
2018-03-31,-168.786,-604.2930000000001,-879.343,-384.28299999999996,785.409,474.351,-1020.4979999999999,-748.6500000000001,380.354
2018-04-01,-167.288,-605.487,-883.003,-381.31399999999996,784.66,474.96000000000004,-1018.532,-748.903,382.00100000000003
2018-04-02,-169.05,-605.482,-878.701,-383.409,784.085,478.42299999999994,-1018.894,-748.1439999999999,383.75100000000003
2018-04-03,-170.184,-604.187,-877.1979999999999,-383.6,784.226,474.57200000000006,-1018.883,-749.303,383.65500000000003
2018-04-04,-168.663,-602.032,-885.7909999999999,-383.73699999999997,784.771,473.025,-1019.9340000000001,-748.9060000000001,384.518
2018-04-05,-169.779,-601.727,-881.222,-385.19599999999997,784.628,474.66,-1020.233,-750.845,382.533
2018-04-06,-169.294,-603.19,-878.394,-384.523,785.009,474.343,-1019.479,-748.938,385.817
2018-04-07,-170.515,-600.569,-881.1999999999999,-386.925,785.386,472.0,-1021.6899999999999,-750.556,386.567
2018-04-08,-168.506,-604.187,-879.367,-384.635,785.417,476.796,-1019.5940000000002,-748.272,386.69000000000005
2018-04-09,-167.125,-602.495,-881.899,-383.666,786.884,479.125,-1022.314,-747.6819999999999,388.076
2018-04-10,-167.104,-602.8319999999999,-880.655,-382.289,786.8430000000001,482.61800000000005,-1019.8739999999999,-747.486,388.795
2018-04-11,-168.606,-604.639,-882.343,-382.05,785.423,481.51700000000005,-1018.209,-749.114,391.007
2018-04-12,-166.56300000000002,-605.604,-879.783,-381.61400000000003,786.235,483.183,-1018.4010000000001,-746.232,390.806
2018-04-13,-170.067,-602.863,-879.2950000000001,-382.12399999999997,783.065,478.18100000000004,-1018.262,-749.2760000000001,383.55400000000003
2018-04-14,-169.05200000000002,-603.0210000000001,-884.4209999999999,-381.789,784.447,478.50399999999996,-1017.471,-748.573,384.858
2018-04-15,-168.549,-602.3720000000001,-879.494,-383.853,786.4830000000001,477.69399999999996,-1020.294,-747.289,389.823
2018-04-16,-170.418,-604.139,-877.9040000000001,-384.522,784.528,475.759,-1019.384,-750.46,387.231
2018-04-17,-171.58800000000002,-604.97,-879.1719999999999,-385.021,783.797,477.38800000000003,-1018.6959999999998,-750.764,385.914
2018-04-18,-168.49800000000002,-605.049,-886.6200000000001,-383.1,785.9350000000001,474.698,-1018.904,-747.528,387.70799999999997
2018-04-19,-166.31400000000002,-603.579,-886.2629999999999,-382.40599999999995,787.8810000000001,472.1770000000001,-1020.491,-745.49,386.664
2018-04-20,-171.923,-601.121,-884.869,-384.104,785.341,471.584,-1021.1290000000001,-750.073,378.461
2018-04-21,-170.092,-602.4649999999999,-883.372,-383.557,786.294,476.195,-1020.562,-748.382,387.06199999999995
