jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2018-01-11,881.5840000000001,254.475,1072.068,105.18399999999998,1084.183,172.572,319.399,504.21700000000004,764.7149999999999,151.901,137.546,409.136,83.475,1095.199,1016.5740000000001,928.0639999999999,86.862,187.12400000000002,668.679,713.31
2018-01-12,887.749,252.224,1078.64,109.22999999999999,1087.518,173.87,329.201,505.35799999999995,764.783,154.45799999999997,143.564,414.634,83.731,1097.2269999999999,1019.8399999999998,930.689,89.27300000000001,191.25699999999998,661.25,713.4939999999999
2018-01-13,882.5780000000001,254.985,1080.7169999999999,110.673,1087.081,182.221,323.432,509.0859999999999,762.737,155.842,140.543,413.113,85.411,1103.724,1015.023,932.052,92.05499999999999,192.976,660.3919999999999,708.543
2018-01-14,883.5120000000001,256.038,1078.0020000000002,106.20999999999998,1086.195,179.70999999999998,322.442,506.2,761.172,151.365,138.877,414.47799999999995,81.993,1098.647,1012.9090000000001,936.227,92.441,192.992,656.545,714.5640000000001
2018-01-15,882.006,257.51599999999996,1073.349,106.027,1086.045,177.294,319.706,504.83,760.383,148.396,138.596,410.959,83.744,1099.828,1016.7409999999999,936.826,92.808,192.828,654.739,712.79
2018-01-16,888.61,256.604,1080.281,103.13399999999999,1087.711,178.367,322.112,501.027,761.762,152.659,141.717,412.88100000000003,81.72200000000001,1095.608,1017.5419999999999,932.371,90.264,192.15099999999998,657.946,711.1659999999999
2018-01-17,885.4360000000001,253.67800000000003,1078.548,106.474,1087.015,170.856,322.912,500.21700000000004,760.268,152.583,142.512,411.698,78.361,1093.843,1015.4370000000001,929.774,87.84199999999998,191.86800000000002,657.036,709.418
2018-01-18,883.3100000000001,254.01999999999998,1080.4940000000001,105.991,1084.29,170.854,323.068,499.925,762.4449999999999,148.77,141.6,411.907,84.82000000000001,1093.1200000000001,1015.307,927.6709999999999,86.56099999999999,187.013,661.6270000000001,707.306
2018-01-19,883.6629999999999,258.035,1079.272,105.30999999999999,1088.831,171.103,323.204,497.901,762.958,146.121,141.014,412.91499999999996,83.291,1092.58,1014.457,926.351,87.38,184.391,655.986,707.795
2018-01-20,883.4219999999999,256.116,1081.176,108.944,1089.958,171.63299999999998,319.46999999999997,502.12100000000004,758.7159999999999,149.555,140.036,417.63,82.20700000000001,1089.931,1017.444,928.481,89.55000000000001,183.49200000000002,654.4290000000001,707.649
2018-01-21,887.968,252.934,1075.132,107.95999999999998,1092.429,169.983,318.979,502.433,763.262,146.822,144.413,415.47,85.355,1091.0600000000002,1014.319,926.9979999999999,87.84,188.17700000000002,658.037,707.7399999999999
2018-01-22,884.193,251.28699999999998,1080.46,106.304,1088.722,168.74835911900803,318.8730425813914,502.81300000000005,767.4115510576705,144.08100794759577,147.8713667020111,412.65171897372784,88.25111463357369,1094.283,1009.723,926.472,88.159,192.18495248258318,660.9538041987922,707.8415622557683
2018-01-23,887.348,255.139,1080.223,106.915,1086.2969999999998,168.455961403579,318.43276049294366,501.32200000000006,769.180301364483,142.77034949932963,149.16039952889372,410.5694227313046,90.07412483390496,1094.491,1018.677,930.217,83.729,194.3187378318741,662.2304351510571,707.8702760303715
