jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-04-15,-379.39099999999996,723.741,207.35799999999998,-271.84400000000005,-395.55899999999997,634.822,-657.081,-263.20799999999997,916.164,-771.894,104.06700000000001,124.665
2016-04-16,-381.123,726.072,208.591,-274.468,-392.81100000000004,633.698,-657.986,-260.841,917.4120000000001,-774.5989999999999,106.67,124.522
2016-04-17,-379.342,723.784,208.065,-271.256,-394.885,635.831,-656.234,-262.901,915.3149999999999,-772.207,105.582,124.46
2016-04-18,-380.103,723.727,207.71900000000002,-272.906,-394.904,634.497,-657.0350000000001,-262.778,916.38,-773.6039999999999,105.36199999999998,124.96700000000001
2016-04-19,-379.566,724.244,209.86799999999997,-271.506,-393.992,636.9670000000001,-657.003,-262.21700000000004,920.814,-773.694,105.715,127.647
2016-04-20,-380.275,724.308,206.287,-272.391,-393.943,632.607,-655.848,-262.069,913.101,-773.072,106.17500000000001,119.68499999999999
2016-04-21,-379.89,723.5279999999999,204.83499999999998,-274.385,-393.679,632.159,-655.442,-261.424,913.949,-774.616,105.21400000000001,123.53399999999999
2016-04-22,-380.25199999999995,724.114,204.6,-272.658,-392.97900000000004,632.5189999999999,-653.572,-261.25399999999996,918.1010000000001,-773.261,106.21199999999999,124.48699999999998
2016-04-23,-379.702,723.918,209.547,-271.669,-394.519,632.1020000000001,-654.9939999999999,-262.681,918.0129999999999,-772.48,105.79100000000001,121.377
2016-04-24,-379.90799999999996,723.971,201.87800000000001,-272.24199999999996,-393.83000000000004,630.578,-655.22,-262.47600000000006,913.791,-773.0930000000001,106.22899999999998,119.44500000000001
2016-04-25,-378.24800000000005,724.112,198.59300000000002,-269.45799999999997,-393.214,619.924,-653.868,-262.368,911.249,-770.8199999999999,106.5,117.576
2016-04-26,-377.86199999999997,722.091,206.05599999999998,-269.806,-394.719,628.128,-652.9970000000001,-262.48,914.152,-771.792,104.25999999999999,123.28099999999999
2016-04-27,-378.486,725.4399999999999,207.589,-269.16,-390.84200000000004,633.206,-651.52,-260.848,915.287,-775.682,102.28200000000001,131.945
2016-04-28,-377.704,724.339,201.94500000000002,-269.03499999999997,-392.93600000000004,632.9540000000001,-653.237,-261.01599999999996,915.8340000000001,-776.303,101.361,130.025
2016-04-29,-374.913,723.878,203.78099999999998,-269.51399999999995,-392.71999999999997,637.8119999999999,-652.9159999999999,-261.53000000000003,921.7239999999999,-777.1560000000001,101.643,128.902
2016-04-30,-377.448,722.841,210.067,-268.484,-394.605,637.2090000000001,-651.254,-263.75100000000003,922.215,-776.751,98.871,138.324
2016-05-01,-376.615,725.0640000000001,205.713,-269.794,-393.459,638.358,-653.138,-262.573,919.0790000000001,-776.7890000000001,101.738,133.005
2016-05-02,-377.903,726.4699999999999,211.414,-269.688,-391.312,642.0989999999999,-654.1239999999999,-260.05500000000006,923.898,-774.241,105.82600000000001,128.89000000000001
2016-05-03,-380.195,725.665,209.50100000000003,-272.837,-392.45799999999997,637.761,-657.363,-261.143,921.868,-777.732,105.551,130.748
2016-05-04,-380.484,724.78,204.761,-273.115,-393.396,633.621,-658.008,-261.488,917.273,-778.695,105.393,128.28
2016-05-05,-379.513,723.557,199.95399999999998,-271.20500000000004,-392.735,630.8829999999999,-656.545,-261.893,916.427,-776.7930000000001,104.842,128.07299999999998
2016-05-06,-379.68600000000004,722.7,214.544,-269.971,-393.254,631.131,-653.4979999999999,-262.921,919.9459999999999,-774.675,104.782,130.152
2016-05-07,-378.267,724.393,210.207,-269.59499999999997,-392.316,633.9560000000001,-654.6310000000001,-261.759,921.9280000000001,-775.428,105.674,132.37699999999998
2016-05-08,-380.896,723.687,208.852,-272.18,-393.2,631.262,-657.848,-261.827,920.48,-777.915,104.88900000000001,130.81099999999998
