jd,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19
2016-01-13,863.424,237.32399999999998,1058.83,85.45,1061.923,160.22899999999998,297.299,490.68199999999996,726.232,125.79400000000001,125.48499999999999,395.51,59.80700000000001,1055.179,1001.102,920.458,69.256,178.622,637.964,689.8140000000001
2016-01-14,869.3190000000001,238.61100000000002,1058.9070000000002,80.954,1063.728,160.86,302.139,492.09999999999997,725.8939999999999,123.494,122.654,394.108,59.25900000000001,1053.4709999999998,999.872,920.3149999999999,73.674,178.9,637.5999999999999,691.697
2016-01-15,867.618,234.073,1061.955,85.768,1061.914,164.514,298.076,490.987,728.885,130.02700000000002,124.33800000000001,391.68600000000004,54.885000000000005,1056.376,994.3700000000001,923.782,70.54400000000001,177.744,637.48,694.864
2016-01-16,862.2579999999999,230.151,1057.5330000000001,78.863,1055.3870000000002,162.573,294.41,486.5,721.911,127.71300000000002,114.56500000000001,387.1,48.63,1053.135,996.8879999999999,914.677,65.482,176.536,630.965,690.6750000000001
2016-01-17,867.2860000000001,236.88600000000002,1062.3899999999999,87.078,1060.676,160.95399999999998,301.58000000000004,491.532,728.161,130.81900000000002,119.86400000000002,393.614,55.835,1055.133,998.7309999999999,923.028,72.01100000000001,178.171,637.625,702.319
2016-01-18,867.358,235.24,1056.619,83.86,1059.593,160.164,300.868,488.74399999999997,728.1479999999999,132.38,116.30699999999999,391.235,53.415,1055.901,994.6290000000001,920.7239999999999,73.172,178.875,636.043,709.327
2016-01-19,874.607,238.599,1066.179,89.45800000000001,1066.151,163.404,303.76300000000003,493.544,738.567,131.33599999999998,125.09,399.317,61.525000000000006,1058.6,1002.9879999999999,927.817,76.38099999999999,183.669,644.5350000000001,708.1579999999999
2016-01-20,876.5,244.671,1072.614,94.16499999999999,1070.792,166.104,308.018,503.37600000000003,738.187,135.744,129.803,403.96900000000005,63.175999999999995,1056.3690000000001,1002.667,929.982,84.12400000000001,183.815,652.1100000000001,715.449
2016-01-21,880.1200000000001,247.021,1076.706,97.541,1071.758,169.55499999999998,313.153,501.961,738.775,131.31400000000002,131.62199999999999,406.58099999999996,67.545,1063.7450000000001,1010.457,931.1299999999999,80.947,185.302,648.387,707.169
2016-01-22,873.582,243.89,1069.08,97.187,1069.465,171.717,309.361,499.945,734.802,139.503,127.71199999999999,405.429,67.133,1066.6299999999999,1011.768,934.3520000000001,86.352,186.919,637.2220000000001,709.825
2016-01-23,873.6379999999999,249.24,1080.267,94.042,1072.859,175.846,306.473,500.6580000000001,736.4350000000001,141.19600000000003,125.446,399.492,62.94800000000001,1068.51,1007.2860000000002,935.2209999999999,85.76100000000001,187.71099999999998,644.1170000000001,707.072
2016-01-24,876.561,250.47199999999998,1070.155,94.711,1073.601,176.565,313.189,504.32500000000005,740.899,144.068,130.59400000000002,407.367,65.50800000000001,1069.853,1013.6479999999999,935.099,87.91399999999999,189.102,650.424,708.984
2016-01-25,868.216,242.95500000000004,1067.951,85.87899999999999,1068.737,172.005,303.635,498.5060000000001,738.374,139.08900000000003,126.62200000000001,400.673,62.836000000000006,1065.6950000000002,1005.6659999999999,932.3580000000001,79.79299999999999,181.53,646.504,702.476
2016-01-26,876.509,243.099,1075.053,91.501,1071.051,174.624,307.641,501.28400000000005,737.4979999999999,143.134,135.489,388.711,64.902,1067.28,1015.908,933.973,87.96900000000001,185.24200000000002,646.65,706.525
2016-01-27,879.351,245.142,1074.2350000000001,96.30199999999999,1073.101,175.851,313.174,499.98400000000004,743.82,140.05599999999998,135.56199999999998,404.508,68.762,1068.077,1022.6549999999999,938.4120000000001,85.29599999999999,194.533,646.9630000000001,701.61
2016-01-28,878.273,248.756,1075.831,94.7,1074.152,174.905,314.612,499.346,744.796,138.988,131.548,404.02,63.583,1067.479,1017.1729999999999,935.782,87.164,190.958,659.968,701.613
